Номер действия;Номер касания;Координата X;Координата Y;Размер касания;Метка времени;Тип
0;0;425.4091491699219;812.327880859375;0.17307692766189575;371628551;DU
0;0;425.4091491699219;812.327880859375;0.1538461595773697;371628572;DU
0;0;425.4091491699219;812.327880859375;0.21153846383094788;371628594;DU
0;0;433.6794738769531;775.947265625;0.17307692766189575;371628610;DU
0;0;436.8795166015625;758.6953735351563;0.21153846383094788;371628627;DU
0;0;440.7635192871094;744.2540283203125;0.23076924681663513;371628644;DU
0;0;444.1890563964844;731.1672973632813;0.21153846383094788;371628660;DU
0;0;447.354248046875;716.5128173828125;0.19230769574642181;371628677;DU
0;0;450.51202392578125;700.7265014648438;0.23076924681663513;371628694;DU
0;0;452.5039978027344;683.9707641601563;0.25;371628710;DU
0;0;456.562255859375;663.1946411132813;0.25;371628727;DU
0;0;461.323974609375;640.9598999023438;0.26923078298568726;371628744;DU
0;0;467.813720703125;619.0885009765625;0.25;371628760;DU
0;0;477.3370666503906;594.9976806640625;0.26923078298568726;371628776;DU
0;0;484.7145080566406;573.3513793945313;0.2884615361690521;371628794;DU
0;0;495.216796875;547.3244018554688;0.26923078298568726;371628810;DU
0;0;512.5585327148438;515.8363037109375;0.2884615361690521;371628827;DU
0;0;544.6771240234375;460.7087707519531;0.2884615361690521;371628844;DU
0;0;574.242431640625;412.52239990234375;0.21153846383094788;371628860;DU
1;0;464.3550720214844;816.3247680664063;0.19230769574642181;371629568;DU
1;0;464.3550720214844;816.3247680664063;0.17307692766189575;371629589;DU
1;0;464.3550720214844;816.3247680664063;0.19230769574642181;371629610;DU
1;0;464.3550720214844;816.3247680664063;0.1538461595773697;371629626;DU
1;0;464.3550720214844;816.3247680664063;0.23076924681663513;371629642;DU
1;0;462.35784912109375;770.3629760742188;0.1538461595773697;371629660;DU
1;0;460.9823913574219;750.84765625;0.21153846383094788;371629677;DU
1;0;461.3592224121094;735.1911010742188;0.21153846383094788;371629694;DU
1;0;459.36199951171875;715.4146728515625;0.1538461595773697;371629710;DU
1;0;458.2335205078125;690.2119750976563;0.21153846383094788;371629727;DU
1;0;462.1427001953125;656.1348266601563;0.21153846383094788;371629744;DU
1;0;471.1904602050781;616.793701171875;0.23076924681663513;371629760;DU
1;0;483.2964172363281;579.606689453125;0.23076924681663513;371629777;DU
1;0;497.6492919921875;540.96533203125;0.25;371629794;DU
1;0;528.1099853515625;482.74957275390625;0.19230769574642181;371629810;DU
1;0;544.244140625;447.61279296875;0.1538461595773697;371629820;DU
2;0;483.3287353515625;783.3505249023438;0.07692307978868484;371630346;DU
2;0;483.3287353515625;783.3505249023438;0.11538462340831757;371630377;DU
2;0;483.3287353515625;783.3505249023438;0.13461539149284363;371630383;DU
2;0;483.3287353515625;783.3505249023438;0.17307692766189575;371630410;DU
2;0;483.3287353515625;783.3505249023438;0.13461539149284363;371630427;DU
2;0;473.90625;728.128173828125;0.13461539149284363;371630444;DU
2;0;464.9419250488281;705.174560546875;0.1538461595773697;371630460;DU
2;0;456.98101806640625;672.4231567382813;0.1538461595773697;371630477;DU
2;0;457.3647766113281;638.6231689453125;0.19230769574642181;371630494;DU
2;0;464.3102722167969;604.6471557617188;0.21153846383094788;371630510;DU
2;0;474.27642822265625;568.4365234375;0.19230769574642181;371630527;DU
2;0;486.9117126464844;532.3119506835938;0.21153846383094788;371630544;DU
2;0;509.64715576171875;491.56317138671875;0.21153846383094788;371630560;DU
2;0;539.5056762695313;436.2056579589844;0.19230769574642181;371630577;DU
2;0;567.178466796875;399.16693115234375;0.21153846383094788;371630594;DU
2;0;594.9033203125;362.85260009765625;0.11538462340831757;371630610;DU
2;0;606.1581420898438;349.6893005371094;0.17307692766189575;371630619;DU
3;0;518.2801513671875;788.3466186523438;0.1538461595773697;371631293;DU
3;0;511.7045593261719;765.9760131835938;0.13461539149284363;371631310;DU
3;0;497.0898742675781;724.4772338867188;0.19230769574642181;371631327;DU
3;0;479.63970947265625;661.6484985351563;0.13461539149284363;371631344;DU
3;0;476.88751220703125;601.837158203125;0.19230769574642181;371631360;DU
3;0;485.47174072265625;549.598876953125;0.19230769574642181;371631377;DU
3;0;500.4398193359375;498.17474365234375;0.19230769574642181;371631394;DU
3;0;523.0808715820313;448.62298583984375;0.21153846383094788;371631410;DU
3;0;549.1412963867188;400.8738098144531;0.19230769574642181;371631427;DU
3;0;572.0428466796875;360.25732421875;0.17307692766189575;371631444;DU
4;0;479.3342590332031;741.38330078125;0.09615384787321091;371631910;DU
4;0;479.3342590332031;741.38330078125;0.11538462340831757;371631927;DU
4;0;457.6952209472656;663.7603759765625;0.1538461595773697;371631944;DU
4;0;459.3689880371094;610.92041015625;0.19230769574642181;371631960;DU
4;0;470.9891357421875;555.0271606445313;0.19230769574642181;371631977;DU
4;0;494.0575866699219;488.05035400390625;0.19230769574642181;371631994;DU
4;0;524.628662109375;420.1161804199219;0.19230769574642181;371632010;DU
5;0;516.282958984375;813.3270874023438;0.13461539149284363;371632694;DU
5;0;496.1475524902344;761.6987915039063;0.19230769574642181;371632710;DU
5;0;480.8302917480469;722.619873046875;0.1538461595773697;371632727;DU
5;0;464.8439636230469;667.6543579101563;0.19230769574642181;371632744;DU
5;0;464.31982421875;612.2491455078125;0.21153846383094788;371632760;DU
